channel,laser,autolevel,t_ms,tp,tp_err,tp_rms_err,pd_flux_ph_s,pd_flux_err_ph_s,laser_flux_ph_s,laser_flux_err_ph_s,pd_route_tx,laser_route_tx,atten_tx,pd_raw,pd_mv,pd_net_mv,pd_mean_net_mv,pd_mean_net_err_mv,laser_current_ma,atten_db,wavelength_nm,pd_ontime_s,laser_current_ontime_s,flags
yj_m,,False,1789176903671,2.811096609057334e-06,5.736219469189948e-07,5.736219469189948e-07,95244854.35629049,19435311.6907613,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,21198,1324.875,1326.57375,342.3212499999998,69.85280451197004,250.0,38.231174960409206,1028.01,377,8,()
yj_m,,False,1789176903779,6.233104805870497e-06,1.1767432149255393e-06,1.176743214925539e-06,211188458.45063645,39870111.81302667,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,32767,2047.9375,2049.63625,759.0362499999999,143.29788843415488,250.0,38.231174960409206,1028.01,377,8,()
yj_m,,False,1789176903885,9.375437339069525e-06,1.2958157847196036e-06,1.2958157847196036e-06,317656163.4378152,43904498.08467743,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,32767,2047.9375,2049.63625,1141.69375,157.79794894480563,250.0,38.231174960409206,1028.01,378,8,()
yj_m,,False,1789176903992,1.253031349925734e-05,1.0826353357911205e-06,1.0826353357911205e-06,424548868.3776093,36681572.78770202,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,32767,2047.9375,2049.63625,1525.87875,131.8379027771888,250.0,38.231174960409206,1028.01,378,8,()
yj_m,,False,1789176904098,4.726300644576494e-05,1.552526321168476e-06,1.552526321168476e-06,528916614.5154498,17374200.82831267,11190921913154.004,0.0,1.0,1.0,4.963438197105989e-05,32767,2047.9375,2049.63625,1900.988750000001,62.444928762770644,250.0,43.04217381424828,1028.01,378,8,()
yj_m,,False,1789176904206,0.0001497023430530541,2.1205400585411703e-06,2.1205400585411707e-06,556638297.1857164,7884805.162215365,3718300501071.284,0.0,1.0,1.0,1.6491540981661725e-05,24050,1503.125,1504.82375,2000.6237500000009,28.338920536737106,250.0,47.82738761665105,1028.01,378,8,()
yj_m,,False,1789176904314,0.00038592696746093995,2.4997312220425635e-05,2.499731222042564e-05,473215188.6472237,30651156.346723825,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,9216,576.0,577.69875,1700.7912500000007,110.16387421104753,250.0,52.645296980749606,1028.01,378,8,()
yj_m,,False,1789176904422,0.00030393181413048385,3.450910643695869e-05,3.4509106436958684e-05,372674528.8257331,42314309.93291581,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,2188,136.75,138.44875,1339.4362500000002,152.08262500919525,250.0,52.645296980749606,1028.01,378,8,()
yj_m,,False,1789176904528,0.00021702802482039248,3.5761257523312244e-05,3.576125752331225e-05,266115007.15484685,43849670.150010765,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,2141,133.8125,135.51125,956.4487499999997,157.60089087529772,250.0,52.645296980749606,1028.01,378,9,()
yj_m,,False,1789176904634,0.00011213365635184162,2.4310949429792678e-05,2.4310949429792678e-05,137495831.64231786,29809553.336738046,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,1793,112.0625,113.76125,494.17624999999975,107.13905364379272,250.0,52.645296980749606,1028.01,378,9,()
